0,0,0
0.01,-0.00026124,-0.052248
0.02,-0.001045,-0.1045
0.03,-0.0023512,-0.15675
0.04,-0.0041799,-0.20899
0.05,-0.0065311,-0.26124
0.06,-0.0094047,-0.31349
0.07,-0.012801,-0.36574
0.08,-0.01672,-0.41799
0.09,-0.021161,-0.47024
0.1,-0.026125,-0.52211
0.11,-0.031587,-0.56965
0.12,-0.037498,-0.61223
0.13,-0.043823,-0.6522
0.14,-0.050529,-0.68843
0.15,-0.057576,-0.72034
0.16,-0.064915,-0.74649
0.17,-0.072481,-0.76546
0.18,-0.08019,-0.77495
0.19,-0.087939,-0.77365
0.2,-0.095628,-0.76333
0.21,-0.10318,-0.74606
0.22,-0.11052,-0.72197
0.23,-0.1176,-0.69193
0.24,-0.12434,-0.65474
0.25,-0.13067,-0.61102
0.26,-0.13654,-0.56267
0.27,-0.14191,-0.51149
0.28,-0.14675,-0.45609
0.29,-0.15103,-0.39871
0.3,-0.15472,-0.3409
0.31,-0.15785,-0.28357
0.32,-0.1604,-0.22765
0.33,-0.16241,-0.17382
0.34,-0.16389,-0.12322
0.35,-0.16489,-0.077184
0.36,-0.16544,-0.034988
0.37,-0.16561,0.0017307
0.38,-0.16543,0.033225
0.39,-0.16496,0.059158
0.4,-0.16427,0.079526
0.41,-0.1634,0.093751
0.42,-0.16241,0.10193
0.43,-0.16138,0.1045
0.44,-0.16035,0.099912
0.45,-0.1594,0.090864
0.46,-0.15855,0.077887
0.47,-0.15785,0.060787
0.48,-0.15735,0.039557
0.49,-0.15708,0.01489
0.5,-0.15706,-0.011665
0.51,-0.157,0.023567
0.52,-0.15659,0.057443
0.53,-0.15585,0.090362
0.54,-0.15479,0.12314
0.55,-0.15338,0.1573
0.56,-0.15164,0.19243
0.57,-0.14953,0.23007
0.58,-0.14703,0.26982
0.59,-0.14412,0.31239
0.6,-0.14077,0.35794
0.61,-0.13697,0.39959
0.62,-0.13279,0.43605
0.63,-0.12827,0.46877
0.64,-0.12344,0.49696
0.65,-0.11834,0.52155
0.66,-0.11302,0.54189
0.67,-0.10752,0.55745
0.68,-0.10189,0.56735
0.69,-0.096193,0.57178
0.7,-0.09048,0.57012
0.71,-0.084813,0.56257
0.72,-0.079244,0.55085
0.73,-0.073809,0.5355
