time,angle,gyro
0,0,0.1
3.15544362088405e-30,3.15544362088405e-31,0.1
2.04842930194461e-05,2.04733311240166e-06,0.0998929726226159
0.000122905758116677,1.2251112312332e-05,0.0993578137478095
0.000426589112350628,4.21834064058222e-05,0.0977701950321811
0.000426589112350631,4.21834064058225e-05,0.0977701950321811
0.000426589112350635,4.21834064058229e-05,0.097770195032181
0.000938696437836787,9.15653559155168e-05,0.0950854672381637
0.00145080376332294,0.000139568322848743,0.0923831007836513
0.00247501841429525,0.000231386868467843,0.0868883667455913
0.00452344771623986,0.000397663326221544,0.0752916370184397
0.00862030632012908,0.000652321832055934,0.0478789927040289
0.01,0.000710913508863984,0.0368834856548753
0.0109673335637361,0.000742597890174861,0.0285333299534603
0.0109673335637362,0.000742597890174864,0.0285333299534594
0.0164413084797875,0.000747216072679701,-0.0303266726590147
0.0164413084797877,0.000747216072679694,-0.0303266726590176
0.02,0.000552795474571158,-0.080624628838085
0.0235586915202123,0.000161048033955568,-0.141303289755501
0.025,-6.22939019027022e-05,-0.168903682070011
0.03,-0.00114490758788356,-0.262206940615854
0.04,-0.00454431238231264,-0.407781277354139
0.05,-0.00910231052313645,-0.494561348990463
0.06,-0.0142034148583518,-0.512860687968514
0.07,-0.0191691619480883,-0.473673578719291
0.075,-0.0214621882909478,-0.442715329874831
0.08,-0.0235865180685401,-0.405907266994698
0.0872262054636956,-0.0263003608451184,-0.343917397759532
0.0872262054636965,-0.0263003608451187,-0.343917397759524
0.09,-0.027219109235386,-0.31840655333658
0.0927737945363035,-0.0280660997733589,-0.292189835486011
0.0983213836089106,-0.0295371703891401,-0.237663286230299
0.1,-0.0299217799155754,-0.220525512358403
0.108393081955447,-0.0314108012080853,-0.134461561618442
0.11,-0.0316137165830987,-0.118096635264164
0.118034590222764,-0.0322354023977002,-0.0368016699416577
0.12,-0.0322883119078394,-0.0170475601004512
0.125,-0.0322483495706986,0.0329781973377382
0.13,-0.0319671144800074,0.0779340748557944
0.14,-0.0308359186006257,0.143612789416645
0.15,-0.0291718482946998,0.186064854308224
0.16,-0.027205525583524,0.201539433257667
0.17,-0.0252336738355776,0.189069246824098
0.175,-0.0243207248119923,0.175420279676997
0.18,-0.023487151888552,0.15717168673621
0.19,-0.0221495957697771,0.107859359837966
0.2,-0.0213706777697442,0.0462625345074108
0.21,-0.0212164883612298,-0.0133491835568849
0.22,-0.0216035081877698,-0.062658746201573
0.225,-0.0219721797004897,-0.0845512860282449
0.23,-0.0224421369178759,-0.102355045403893
0.24,-0.0235770697452087,-0.121418660183271
0.25,-0.0248175642146312,-0.124512175053442
0.26,-0.0260218664360265,-0.114003400252951
0.27,-0.0270589279909532,-0.0918208596812166
0.275,-0.0274831673670271,-0.0775786715594075
0.28,-0.0278332181878768,-0.0624250191541467
0.29,-0.0283048329967008,-0.0318396565950512
0.3,-0.0284689313990127,-0.000929678533438776
0.31,-0.0283371538731594,0.0259983026247054
0.32,-0.0279700504580188,0.0465653214684858
0.325,-0.027715343832205,0.0551603353268821
0.33,-0.0274221645824701,0.0615457007876252
0.34,-0.0267778298876543,0.0656391248726643
0.35,-0.0261370131461917,0.0613974749107386
0.36,-0.0255746164748923,0.0497620342748627
0.37,-0.025163458506761,0.0315849163494716
0.375,-0.0250322162751837,0.0207488060617744
0.38,-0.0249556884222302,0.0100638269029292
0.39,-0.0249494097282678,-0.00820497859631864
0.4,-0.0251098285193008,-0.0234700232315193
0.41,-0.0254007917348519,-0.0334234831635853
0.42,-0.0257568883558951,-0.0369193231329419
0.425,-0.0259419217635697,-0.036931334243905
0.43,-0.0261241080040635,-0.0356919181363168
0.44,-0.0264530733758297,-0.0293510051229369
0.45,-0.0266987683360303,-0.0192822252243536
0.46,-0.026835508412962,-0.00818940985886203
0.47,-0.0268645836844256,0.00229166918265
0.475,-0.0268403948761484,0.00736848952501675
0.48,-0.0267919336512895,0.0118329379748839
0.49,-0.0266402881454056,0.0179504943018315
0.5,-0.026441912232773,0.0213566395306614
0.51,-0.0259047119807186,0.085743348182402
0.52,-0.0247326438081471,0.148441282135165
0.525,-0.0239130922945405,0.179336832848557
0.53,-0.0229461874220401,0.206148277039724
0.54,-0.0206955214661675,0.240189856385361
0.55,-0.0182047250543214,0.255427253123172
0.56,-0.0156541368011589,0.250685665298205
0.57,-0.0132567724300499,0.226106187908288
0.575,-0.0121689675353646,0.208521519234101
0.58,-0.0111752381002688,0.188716968339608
0.59,-0.00950175930989537,0.145227475260227
0.6,-0.00828300891379768,0.0980211812510288
0.61,-0.00752841230843533,0.0544794478426635
0.62,-0.00716743381534852,0.0187767172129059
0.625,-0.00711342850652549,0.00302127075214316
0.63,-0.00713214883706268,-0.00972142678588755
0.64,-0.00730808159751436,-0.0231233261819309
0.65,-0.00755615189870911,-0.0249221126708436
0.66,-0.00777525664402213,-0.0173495289360695
0.67,-0.00787770082701465,-0.00210200689666057
0.675,-0.00786450772958115,0.0075705013737367
0.68,-0.00780092420509519,0.0178938033567415
0.69,-0.00751684577879005,0.0390134004909654
0.7,-0.00701915712890217,0.060585253801122
0.71,-0.00631802753169015,0.0784232492105935
0.72,-0.00547068487036311,0.0902300805527857
0.725,-0.00500842557457736,0.0945233076204117
0.73,-0.00452853309030803,0.0969833764587627
0.74,-0.00356192729297165,0.0950003666716229
0.75,-0.00265048143948729,0.0863939539351459
0.76,-0.00184871852606699,0.0733617107911872
0.77,-0.0011930401343849,0.0573751644531902
0.775,-0.000927931517905114,0.0485949159824982
0.78,-0.000706532612900562,0.0401372556152664
0.79,-0.00037906340329135,0.0258700087971945
0.8,-0.000180693167570313,0.0141485461503088
0.81,-8.46229434395311e-05,0.00582277137793485
0.82,-5.17964357870361e-05,0.00125009083849947
0.825,-4.89887374599357e-05,-3.33184772166805e-05
0.83,-5.0363474201709e-05,-0.000265271643407537
0.84,-3.98020829337574e-05,0.00312433472639947
0.85,2.43884959253334e-05,0.0102139703267151
0.86,0.000170198830370548,0.0190571838990876
0.87,0.000407324133062445,0.0284409695627998
0.875,0.00056158602176716,0.0332772740331802
0.88,0.000738673150861946,0.0372744702226134
0.89,0.00113389265536101,0.0409284235336889
0.9,0.00154343270125757,0.0404166418009917
0.91,0.00193361660440234,0.0373008013661282
0.92,0.00228420799139275,0.0326039614408802
0.925,0.00244040133482789,0.0298340625085548
0.93,0.00258220536467258,0.0268577992340311
0.94,0.00281918409776051,0.0204498261083559
0.95,0.00298975841121944,0.0136063635039496
0.96,0.00309512347468736,0.00786009034285388
0.97,0.00315342528890179,0.00406408041689659
0.975,0.0031701822737221,0.00268742787508638
0.98,0.00318055419656946,0.00146572267088941
0.99,0.00318326641388462,-0.000910108658748489
1,0.00316257030092985,-0.0032201156540557
1.01,0.00312420841400566,-0.0043826181692567
1.02,0.00307606398925218,-0.00519941668460771
1.025,0.00304925599016262,-0.00551510146236743
1.03,0.00302154634673986,-0.00545608455958828
1.04,0.0029745415073158,-0.00360989487432513
1.05,0.00295485245444749,-0.00010335409219101
1.06,0.00297729102726955,0.00484372622985996
1.07,0.00305587814176927,0.0110430570833743
1.075,0.00311960107402069,0.0144773794541521
1.08,0.00320023402372262,0.0176679902715091
1.09,0.00340215627049202,0.0223961159484086
1.1,0.00364289562952684,0.0255372574949542
1.11,0.00390567754201643,0.0265400964575026
1.12,0.00416583092630811,0.0251698308059569
1.125,0.00428853131950178,0.0238511860032673
1.13,0.0044037206134195,0.0221596433057491
1.14,0.00460439193909218,0.01778195006721
1.15,0.004756197409477,0.0124503059664425
1.16,0.00485412064103231,0.00730527981182301
1.17,0.00490511348694306,0.00300805241655489
1.175,0.0049152964661397,0.0010863598229725
1.18,0.00491603919060986,-0.000796650382888834
1.19,0.00488878776666214,-0.00467539302700236
1.2,0.00482217638476695,-0.00866123324848769
1.21,0.00471981875473746,-0.0114129086354331
1.22,0.00460044784298174,-0.0121948447126841
1.225,0.00453968949269289,-0.0120593022109514
1.23,0.00448087177259341,-0.0113187740334953
1.24,0.00438430143234049,-0.00755231624444569
1.25,0.00433710296846798,-0.00159049738546794
1.26,0.00435403107750038,0.00487263022629008
1.27,0.00443285650346608,0.0108232004249762
1.275,0.00449410074390977,0.013661734448835
1.28,0.00456855509495231,0.0159567201113847
1.29,0.00474097924789637,0.0180429067636094
1.3,0.00492144486205147,0.0177253018657129
1.31,0.00508886534749734,0.0154248711398364
1.32,0.00522445947248862,0.0114704477685252
1.325,0.00527586822615888,0.00905186001799619
1.33,0.005314873887682,0.00656784846273477
1.34,0.00535679202536884,0.00186780697980924
1.35,0.00535308715510409,-0.002573692722108
1.36,0.00531260463837119,-0.0048912471784111
1.37,0.00526563839340144,-0.0040786930322056
1.375,0.00524815635073921,-0.00283599023363473
1.38,0.00523730172307149,-0.00157212986664549
1.39,0.00523012339176553,-6.038735286727e-05
1.4,0.00523286208654896,0.000476392951267241
1.41,0.00523752421022556,0.000371116174468125
1.42,0.00523889139945051,-0.000154399839780035
1.425,0.0052372087915508,-0.00052907457148387
1.43,0.00523358333389365,-0.000914966606552326
1.44,0.00522095550013525,-0.00159220953327086
1.45,0.00520204311327124,-0.00217777300345778
1.46,0.00518238521840386,-0.00131228657335454
1.47,0.00518305141477026,0.00174147084603674
1.475,0.00519690133748307,0.00385312627897357
1.48,0.00522120379608095,0.00574633527245184
1.49,0.00529008800524231,0.00766942813361886
1.5,0.00536866280381678,0.0078037686198341
1.51,0.00527846231815425,-0.0262254014768113
1.52,0.00483788974879286,-0.0621445288994015
1.525,0.00448112483569156,-0.0806085196139336
1.53,0.00403497799950947,-0.0972037302575029
1.54,0.00293695274453313,-0.120479786269295
1.55,0.0016569457304279,-0.134234265532393
1.56,0.000291012715435609,-0.136495111280807
1.57,-0.00103259794940874,-0.126581162922583
1.575,-0.00164574229484091,-0.118372998911996
1.58,-0.00221366099884634,-0.108561639407195
1.59,-0.00318677409800165,-0.0853694166272952
1.6,-0.0039096964899773,-0.0587523758013305
1.61,-0.00436529332084619,-0.0330603273907233
1.62,-0.0045822988978765,-0.0108059401596962
1.625,-0.00461059442152251,-0.000598212552126134
1.63,-0.00459101436605319,0.00798785075870665
1.64,-0.00445262517907725,0.0183747448070615
1.65,-0.00424512862323761,0.0222429710466491
1.66,-0.00402797977612769,0.0200766653887921
1.67,-0.00386183323964542,0.0124086497547457
1.675,-0.00381270674153454,0.00710464138736938
1.68,-0.00379163371441068,0.00128763982758577
1.69,-0.00383921092464966,-0.0109129343980716
1.7,-0.00401169809146551,-0.0236582098035287
1.71,-0.00430631181144152,-0.034654761747364
1.72,-0.0046947787044079,-0.0426302404751238
1.725,-0.00491607091253505,-0.0458113296479743
1.73,-0.00515069035867716,-0.0476856321512858
1.74,-0.0056246054220341,-0.046054945992866
1.75,-0.00605466986376748,-0.0392598992248384
1.76,-0.00640456642012326,-0.0308162264158092
1.77,-0.00667258905947316,-0.0228535677185051
1.775,-0.00677719645570042,-0.019001512177789
1.78,-0.00686323549463437,-0.0155232717308381
1.79,-0.00699043651448083,-0.0102416862672862
1.8,-0.00707340755510979,-0.00657045181268891
1.81,-0.00712708557153979,-0.00446161154823833
1.82,-0.00716751288281635,-0.00382278082027018
1.825,-0.00718671948751235,-0.00389662423241971
1.83,-0.00720664120022235,-0.0040696421035494
1.84,-0.00724892005088405,-0.00437916141491121
1.85,-0.00729411309034443,-0.00465506514579927
1.86,-0.00734493877601222,-0.00577803249437681
1.87,-0.00741407821936572,-0.00822964853203656
1.875,-0.00745909645896112,-0.0098108710000059
1.88,-0.00751226134903057,-0.0114391883593343
1.89,-0.00764195527042389,-0.014452542098209
1.9,-0.00780054199007032,-0.0172335281880458
1.91,-0.00798229882669067,-0.0187513424268621
1.92,-0.00816955177267102,-0.0184539914004564
1.925,-0.00826035231541357,-0.0178210340960782
1.93,-0.00834704527131629,-0.0167606253960265
1.94,-0.00849814469426502,-0.0131756197698592
1.95,-0.00860590241276707,-0.00818625227512422
1.96,-0.00866099399249869,-0.00290796452691402
1.97,-0.00866531246432121,0.00199304989890433
1.975,-0.00864945087992099,0.00434206065505091
1.98,-0.00862269632655965,0.00621529167387048
1.99,-0.0085507436908977,0.00774559765286715
2,-0.00847484501112087,0.00714598974266282
2.01,-0.00821765119751551,0.0437585222336623
2.02,-0.00760845281161135,0.077722992061212
2.025,-0.007178986371558,0.0939974590729637
2.03,-0.00667201931542408,0.108175343469727
2.04,-0.00548644377555571,0.127114787463553
2.05,-0.00415970019094925,0.13701133612937
2.06,-0.0027815842508173,0.136407735161769
2.07,-0.00146774599016541,0.124883669413999
2.075,-0.000864342240265068,0.116205553127263
2.08,-0.000307658414043991,0.106339827819162
2.09,0.000649164518513143,0.0846443377412446
2.1,0.00137898598679488,0.0610656882036841
2.11,0.00187906523731326,0.0399364330398101
2.12,0.00219392151834244,0.0236961565431113
2.125,0.00229506407514972,0.016882987907793
2.13,0.00236452317190629,0.0111273199833252
2.14,0.00243225414025338,0.00309288831922628
2.15,0.00243745650433446,-0.00160047530958423
2.16,0.00241191001218542,-0.00282165936981332
2.17,0.00239231379703866,-0.000636933090848725
2.175,0.00239392311698554,0.00136570210364384
2.18,0.00240694015123849,0.00394862942969258
2.19,0.00247890321792414,0.0107636844388077
2.2,0.00262746711893591,0.019163451242586
2.21,0.00286188281564001,0.0275180076166656
2.22,0.00317451616888251,0.0348737049609891
2.225,0.00335747527025243,0.0382850685620028
2.23,0.00355651068289701,0.0411886718893444
2.24,0.00398875424336559,0.0448428478246641
2.25,0.0044465173045416,0.046430495447897
2.26,0.00490825290859092,0.0453195874725516
2.27,0.00534310536757758,0.0412512211157664
2.275,0.00554248685069316,0.038427694502303
2.28,0.00572651088253364,0.0350827506795016
2.29,0.00603776117562923,0.0268728697415191
2.3,0.00625913610843913,0.0172052533660506
2.31,0.00638412903561542,0.00815952688252363
2.32,0.0064283460950019,0.000929615562355086
2.325,0.00642505770702931,-0.00219955730606282
2.33,0.00640761100949205,-0.0045803464381244
2.34,0.00635028919465532,-0.00629298194085366
2.35,0.00629146291030395,-0.00507601835593891
2.36,0.00625862988617173,-0.000921348500692489
2.37,0.00628238852972631,0.00605464663590631
2.375,0.00632309061741169,0.0102966249000115
2.38,0.00638499201322822,0.0143311761990493
2.39,0.00656044385999875,0.0203647635102773
2.4,0.00678581048841267,0.0244445098204137
2.41,0.00704268922599853,0.0265452420225474
2.42,0.00731037768577914,0.0267341046841095
2.425,0.00744312790771506,0.0263183722080879
2.43,0.00757253625414831,0.0252929640187303
2.44,0.00780581766941603,0.0209118090870832
2.45,0.00798335969793802,0.0142944563828738
2.46,0.00809627319405037,0.0089493559461081
2.47,0.00817321005498615,0.0068812756723868
2.475,0.00820701663618148,0.00672320152333912
2.48,0.00824092183241704,0.0068561250008718
2.49,0.00831188019788118,0.00738702141503089
2.5,0.00838951066517603,0.00817382460676634
2.51,0.00873233008097889,0.0603622803095797
2.52,0.00959630286850809,0.112413933522661
2.525,0.0102233553879763,0.138403742967977
2.53,0.0109753789720186,0.161464614889151
2.54,0.0127624652180042,0.193156280898251
2.55,0.0147925809945606,0.210994302927298
2.56,0.0169264855546612,0.212257193760896
2.57,0.0189797697040111,0.196036795969303
2.575,0.0199291005696203,0.183259918430277
2.58,0.0208086688222175,0.168257415727203
2.59,0.0223220671511141,0.13350226010552
2.6,0.0234636198438685,0.0941935481112613
2.61,0.0242138688629266,0.0570781537867135
2.62,0.0246252718569758,0.0260226990240167
2.625,0.0247202413754236,0.0121167529461833
2.63,0.0247507109777202,0.000746766112362107
2.64,0.0246862574630045,-0.0116279647037348
2.65,0.0245511750944724,-0.0140408771297464
2.66,0.0244384333623878,-0.00662072504549038
