72, -0.19
73, -3.09
74, -4.04
75, -4.22
76, -4.39
77, -4.28
78, -4.18
79, -4.02
80, -3.86
81, -3.66
82, -3.47
83, -3.44
84, -3.27
85, -3.07
86, -2.90
87, -2.67
88, -2.65
89, -2.58
90, -2.34
91, -2.16
92, -2.02
93, -1.85
94, -1.63
95, -1.49
96, -1.32
97, -1.08
98, -0.94
99, -0.75
100, -0.59
101, -0.44
102, -0.22
103, 0.06
104, 0.16
105, 0.36
106, 0.50
107, 0.82
108, 1.04
109, 1.30
110, 1.41
111, 1.63
112, 1.74
113, 1.92
114, 2.18
115, 2.28
116, 2.54
117, 2.72
118, 2.90
119, 3.07
120, 3.35
121, 3.46
122, 3.70
123, 3.90
124, 4.15
125, 4.41
126, 4.63
127, 4.76
128, 4.98
129, 5.26
130, 5.45
131, 5.60
132, 5.73
