0,0,0
0.01,-0.00026277,-0.052705
0.02,-0.0010384,-0.10075
0.03,-0.0022181,-0.13105
0.04,-0.0035866,-0.13955
0.05,-0.0049551,-0.13192
0.06,-0.0061952,-0.11528
0.07,-0.0072546,-0.096724
0.08,-0.0081406,-0.081328
0.09,-0.0088968,-0.070574
0.1,-0.0095565,-0.06111
0.11,-0.01011,-0.049203
0.12,-0.010538,-0.036568
0.13,-0.010847,-0.025533
0.14,-0.011066,-0.019387
0.15,-0.01125,-0.017839
0.16,-0.011422,-0.016344
0.17,-0.011574,-0.014022
0.18,-0.011718,-0.016071
0.19,-0.011907,-0.02161
0.2,-0.012143,-0.02506
0.21,-0.012397,-0.025119
0.22,-0.012636,-0.022445
0.23,-0.012842,-0.018585
0.24,-0.013009,-0.015013
0.25,-0.013147,-0.012925
0.26,-0.013281,-0.0149
0.27,-0.013454,-0.019592
0.28,-0.013675,-0.024962
0.29,-0.013951,-0.02984
0.3,-0.014262,-0.031679
0.31,-0.014569,-0.028779
0.32,-0.014824,-0.021873
0.33,-0.015003,-0.013944
0.34,-0.015104,-0.0063656
0.35,-0.015149,-0.0041254
0.36,-0.01521,-0.0089588
0.37,-0.015331,-0.01495
0.38,-0.015499,-0.018065
0.39,-0.015684,-0.018559
0.4,-0.015869,-0.018599
0.41,-0.016053,-0.017885
0.42,-0.016218,-0.014429
0.43,-0.016336,-0.0090421
0.44,-0.016403,-0.0049473
0.45,-0.016449,-0.0052677
0.46,-0.016519,-0.0088243
0.47,-0.016631,-0.013847
0.48,-0.016792,-0.017899
0.49,-0.016979,-0.019058
0.5,-0.017167,-0.018137
0.51,-0.017015,0.049319
0.52,-0.016199,0.11141
0.53,-0.01487,0.14897
0.54,-0.01333,0.15341
0.55,-0.011901,0.12792
0.56,-0.010831,0.084471
0.57,-0.010216,0.039417
0.58,-0.010005,0.0055239
0.59,-0.010049,-0.011479
0.6,-0.010177,-0.011263
0.61,-0.010229,0.0025003
0.62,-0.010109,0.021694
0.63,-0.0097978,0.04026
0.64,-0.0093102,0.056966
0.65,-0.00868,0.067359
