0,0,0
3.1554e-30,-2.6011e-59,-1.6487e-29
6.4897e-06,-1.1002e-10,-3.3908e-05
3.8938e-05,-3.9609e-09,-0.00020345
0.00020118,-1.0574e-07,-0.0010512
0.0010124,-2.6784e-06,-0.005292
0.0050684,-6.7211e-05,-0.026541
0.01,-0.00026201,-0.052477
0.02,-0.0010405,-0.10228
0.03,-0.0022705,-0.14107
0.04,-0.0038113,-0.16472
0.05,-0.0055191,-0.17471
0.06,-0.0072709,-0.17433
0.07,-0.0089867,-0.1682
0.075323,-0.009871,-0.16407
0.075323,-0.009871,-0.16407
0.08,-0.01063,-0.1605
0.09,-0.012198,-0.15319
0.1,-0.01369,-0.14466
0.11,-0.015078,-0.13216
0.12,-0.016324,-0.11688
0.13,-0.017413,-0.10077
0.14,-0.018345,-0.086253
0.15,-0.019146,-0.074141
0.16,-0.019832,-0.063254
0.17,-0.020416,-0.053935
0.18,-0.020925,-0.048943
0.19,-0.021408,-0.047914
0.2,-0.021888,-0.048217
0.21,-0.022374,-0.048983
0.22,-0.022868,-0.049875
0.23,-0.023371,-0.050725
0.24,-0.023882,-0.05134
0.25,-0.024397,-0.051639
0.26,-0.024917,-0.052569
0.27,-0.025449,-0.053663
0.28,-0.025989,-0.054482
0.29,-0.026537,-0.055077
0.3,-0.027087,-0.05469
0.31,-0.027626,-0.052656
0.32,-0.028135,-0.049076
0.33,-0.028605,-0.044837
0.34,-0.02903,-0.04003
0.35,-0.029411,-0.036743
0.36,-0.029773,-0.03593
0.37,-0.03013,-0.035361
0.38,-0.030477,-0.033894
0.39,-0.030807,-0.032156
0.4,-0.031123,-0.031269
0.41,-0.031434,-0.030873
0.42,-0.031738,-0.029672
0.43,-0.032025,-0.027629
0.44,-0.032292,-0.025839
0.45,-0.032547,-0.025515
0.46,-0.032805,-0.026121
0.47,-0.033071,-0.027181
0.48,-0.033348,-0.027987
0.49,-0.033628,-0.027954
0.5,-0.033905,-0.02755
0.51,-0.033859,0.037217
0.52,-0.033171,0.099267
0.53,-0.031914,0.14926
0.54,-0.030243,0.18195
0.55,-0.028337,0.19627
0.56,-0.026372,0.19437
0.57,-0.024488,0.18083
0.58,-0.022779,0.16009
0.59,-0.021298,0.1356
0.6,-0.020068,0.11062
0.61,-0.019078,0.088089
0.62,-0.018294,0.06925
0.63,-0.017675,0.055621
0.64,-0.017157,0.049458
